BuildingID,Postcode,Category,SupplierName,TotalTasks
A019,TN23 5AQ,Building Fabric Maintenance,UBS,50
A019,TN23 5AQ,Building Fabric Maintenance,Expert Access Solutions,3
A019,TN23 5AQ,Building Fabric Maintenance,Marlowe,3
A019,TN23 5AQ,Building Fabric Maintenance,RJ Lifts,2
A019,TN23 5AQ,Building Fabric Maintenance,Parr FM,2
A019,TN23 5AQ,Building Fabric Maintenance,Dorma Kaba,1
A019,TN23 5AQ,Building Fabric Maintenance,Metro Rod,1
A019,TN23 5AQ,Building Fabric Maintenance,NSS Maintenance,1
A019,TN23 5AQ,Cleaning,Metro Rod,1
A019,TN23 5AQ,Emergency & Fire Safety Systems,UBS,5
A019,TN23 5AQ,Emergency & Fire Safety Systems,Marlowe,4
A019,TN23 5AQ,Emergency & Fire Safety Systems,MSL,1
A019,TN23 5AQ,M&E Services,UBS,28
A019,TN23 5AQ,M&E Services,RJ Lifts,4
A019,TN23 5AQ,M&E Services,Dorma Kaba,3
A019,TN23 5AQ,M&E Services,Expert Access Solutions,3
A019,TN23 5AQ,M&E Services,Metro Rod,2
A019,TN23 5AQ,M&E Services,Aqualytix,1
A019,TN23 5AQ,M&E Services,Marlowe,1
A019,TN23 5AQ,M&E Services,HCS WATER TREATMENT,1
A019,TN23 5AQ,Security,Marlowe,4
A020,CT3 3BB,Building Fabric Maintenance,UBS,2
A020,CT3 3BB,Building Fabric Maintenance,MSL,1
A020,CT3 3BB,Ground & Landscaping,IdVerde,1
A020,CT3 3BB,Ground & Landscaping,Parr FM,1
A024,DL11 7TH,Building Fabric Maintenance,MSL,2
A024,DL11 7TH,Ground & Landscaping,J K & J Johnson Grounds Maintenance,1
A024,DL11 7TH,M&E Services,MSL,1
A024,DL11 7TH,M&E Services,HFL Building Solutions,1
A024,DL11 7TH,M&E Services,RJ Lifts,1
A025,LE65 2LP,Building Fabric Maintenance,UBS,4
A025,LE65 2LP,Building Fabric Maintenance,MSL,1
A025,LE65 2LP,Building Fabric Maintenance,Parr FM,1
A025,LE65 2LP,Building Fabric Maintenance,Marlowe,1
A025,LE65 2LP,Car Park Management,UBS,1
A025,LE65 2LP,Emergency & Fire Safety Systems,Marlowe,2
A025,LE65 2LP,Ground & Landscaping,UBS,2
A025,LE65 2LP,Ground & Landscaping,MSL,1
A025,LE65 2LP,M&E Services,UBS,6
A025,LE65 2LP,M&E Services,Parr FM,2
A025,LE65 2LP,M&E Services,Dorma Kaba,1
A025,LE65 2LP,M&E Services,Expert Access Solutions,1
A025,LE65 2LP,M&E Services,MSL,1
A025,LE65 2LP,M&E Services,Aqualytix,1
A025,LE65 2LP,M&E Services,B-Engineering,1
A027,NG32 3PP,Building Fabric Maintenance,MSL,2
A027,NG32 3PP,Ground & Landscaping,IdVerde,2
A027,NG32 3PP,M&E Services,B-Engineering,2
A027,NG32 3PP,M&E Services,HFL Building Solutions,1
A027,NG32 3PP,M&E Services,All Round Security,1
A027,NG32 3PP,M&E Services,Dorma Kaba,1
A031,SY23 3TL,Building Fabric Maintenance,NSS Maintenance,5
A031,SY23 3TL,Building Fabric Maintenance,MSL,1
A031,SY23 3TL,Ground & Landscaping,MSL,1
A033,SY23 3DU,Building Fabric Maintenance,MSL,11
A033,SY23 3DU,Building Fabric Maintenance,NSS Maintenance,4
A033,SY23 3DU,Building Fabric Maintenance,SB-FM,1
A033,SY23 3DU,Building Fabric Maintenance,LCM Group,1
A033,SY23 3DU,Ground & Landscaping,IdVerde,9
A033,SY23 3DU,Ground & Landscaping,Ground Control,1
A033,SY23 3DU,Ground & Landscaping,SB-FM,1
A033,SY23 3DU,M&E Services,RJ Lifts,3
A033,SY23 3DU,M&E Services,MSL,2
A033,SY23 3DU,M&E Services,JSM Building Solutions,1
A033,SY23 3DU,Security,MSL,1
A036,WA14 1GY,Building Fabric Maintenance,HFL Building Solutions,2
A036,WA14 1GY,Building Fabric Maintenance,Arrow Industrial,1
A036,WA14 1GY,Car Park Management,Arrow Industrial,1
A036,WA14 1GY,Car Park Management,Marlowe,1
A036,WA14 1GY,Cleaning,Rentokil,2
A036,WA14 1GY,Cleaning,SB-FM,1
A036,WA14 1GY,M&E Services,RJ Lifts,6
A036,WA14 1GY,M&E Services,HFL Building Solutions,6
A036,WA14 1GY,M&E Services,Aqualytix,2
A036,WA14 1GY,M&E Services,Metro Rod,1
A036,WA14 1GY,Security,Marlowe,3
A036,WA14 1GY,Security,Arrow Industrial,1
B018,EH19 2ET,Building Fabric Maintenance,NSS Maintenance,5
B018,EH19 2ET,Car Park Management,Parr FM,2
B018,EH19 2ET,Ground & Landscaping,IdVerde,1
B021,BL1 8UP,Building Fabric Maintenance,HFL Building Solutions,8
B021,BL1 8UP,Building Fabric Maintenance,Arrow Industrial,2
B021,BL1 8UP,Building Fabric Maintenance,NSS Maintenance,2
B021,BL1 8UP,Building Fabric Maintenance,Parr FM,2
B021,BL1 8UP,Building Fabric Maintenance,UBS,1
B021,BL1 8UP,Car Park Management,Parr FM,2
B021,BL1 8UP,Car Park Management,Arrow Industrial,1
B021,BL1 8UP,Ground & Landscaping,IdVerde,5
B021,BL1 8UP,Ground & Landscaping,Ground Control,1
B021,BL1 8UP,Ground & Landscaping,MSL,1
B021,BL1 8UP,M&E Services,RJ Lifts,9
B021,BL1 8UP,M&E Services,HFL Building Solutions,4
B021,BL1 8UP,M&E Services,Arrow Industrial,1
B025,OX16 9AD,Building Fabric Maintenance,UBS,34
B025,OX16 9AD,Building Fabric Maintenance,NSS Maintenance,3
B025,OX16 9AD,Building Fabric Maintenance,Expert Access Solutions,2
B025,OX16 9AD,Building Fabric Maintenance,Metro Rod,1
B025,OX16 9AD,Emergency & Fire Safety Systems,Marlowe,3
B025,OX16 9AD,Ground & Landscaping,Ground Control,1
B025,OX16 9AD,M&E Services,UBS,14
B025,OX16 9AD,M&E Services,B-Engineering,8
B025,OX16 9AD,M&E Services,RJ Lifts,6
B025,OX16 9AD,M&E Services,Aqualytix,2
B025,OX16 9AD,M&E Services,Dorma Kaba,1
B025,OX16 9AD,Security,Marlowe,6
B028,DE14 3EY,Building Fabric Maintenance,UBS,7
B028,DE14 3EY,Building Fabric Maintenance,MSL,2
B028,DE14 3EY,Car Park Management,UBS,3
B028,DE14 3EY,Cleaning,IdVerde,1
B028,DE14 3EY,Cleaning,SB-FM,1
B028,DE14 3EY,Emergency & Fire Safety Systems,All Round Security,2
B028,DE14 3EY,Ground & Landscaping,Parr FM,2
B028,DE14 3EY,Ground & Landscaping,UBS,2
B028,DE14 3EY,Ground & Landscaping,Ground Control,1
B028,DE14 3EY,M&E Services,UBS,18
B028,DE14 3EY,M&E Services,Aqualytix,3
B028,DE14 3EY,M&E Services,Metro Rod,2
B028,DE14 3EY,M&E Services,RJ Lifts,1
B028,DE14 3EY,Security,Marlowe,1
B029,B12 0UF,Building Fabric Maintenance,NSS Maintenance,2
B029,B12 0UF,Car Park Management,Arrow Industrial,4
B029,B12 0UF,Car Park Management,Parr FM,1
B029,B12 0UF,M&E Services,UBS,5
B031,RG21 7AP,Building Fabric Maintenance,UBS,10
B031,RG21 7AP,Building Fabric Maintenance,Expert Access Solutions,3
B031,RG21 7AP,Building Fabric Maintenance,Dorma Kaba,1
B031,RG21 7AP,Building Fabric Maintenance,Metro Rod,1
B031,RG21 7AP,Building Fabric Maintenance,NSS Maintenance,1
B031,RG21 7AP,Car Park Management,RJ Lifts,1
B031,RG21 7AP,Cleaning,SB-FM,1
B031,RG21 7AP,Emergency & Fire Safety Systems,UBS,5
B031,RG21 7AP,Emergency & Fire Safety Systems,Marlowe,5
B031,RG21 7AP,M&E Services,UBS,40
B031,RG21 7AP,M&E Services,RJ Lifts,15
B031,RG21 7AP,M&E Services,HCS WATER TREATMENT,8
B031,RG21 7AP,M&E Services,Metro Rod,1
B031,RG21 7AP,M&E Services,Caledonian Lift,1
B031,RG21 7AP,Waste disposal,MSL,1
B035,CH41 8DB,Building Fabric Maintenance,NSS Maintenance,3
B035,CH41 8DB,Building Fabric Maintenance,Parr FM,3
B035,CH41 8DB,Building Fabric Maintenance,Arrow Industrial,3
B035,CH41 8DB,Building Fabric Maintenance,UBS,2
B035,CH41 8DB,Building Fabric Maintenance,HFL Building Solutions,2
B035,CH41 8DB,Car Park Management,All Round Security,3
B035,CH41 8DB,Car Park Management,Dorma Kaba,2
B035,CH41 8DB,Car Park Management,Parr FM,1
B035,CH41 8DB,Car Park Management,IdVerde,1
B035,CH41 8DB,Emergency & Fire Safety Systems,Marlowe,1
B035,CH41 8DB,Ground & Landscaping,Ground Control,1
B035,CH41 8DB,Ground & Landscaping,IdVerde,1
B035,CH41 8DB,M&E Services,HFL Building Solutions,8
B035,CH41 8DB,M&E Services,RJ Lifts,3
B035,CH41 8DB,M&E Services,All Round Security,3
B035,CH41 8DB,M&E Services,Metro Rod,3
B035,CH41 8DB,M&E Services,Arrow Industrial,2
B035,CH41 8DB,M&E Services,Dorma Kaba,2
B035,CH41 8DB,Security,Marlowe,3
B035,CH41 8DB,Security,Securigroup,2
B035,CH41 8DB,Security,HFL Building Solutions,1
B040,FY3 9HF,M&E Services,Metro Rod,1
B049,S75 3RF,Building Fabric Maintenance,Parr FM,1
B049,S75 3RF,Building Fabric Maintenance,NSS Maintenance,1
B049,S75 3RF,Cleaning,Rentokil,1
B049,S75 3RF,Ground & Landscaping,Ground Control,1
B049,S75 3RF,Ground & Landscaping,MSL,1
B049,S75 3RF,M&E Services,Arrow Industrial,2
B051,FY2 0JG,Building Fabric Maintenance,NSS Maintenance,7
B051,FY2 0JG,Building Fabric Maintenance,Parr FM,3
B051,FY2 0JG,Building Fabric Maintenance,JSM Building Solutions,2
B051,FY2 0JG,Building Fabric Maintenance,UBS,2
B051,FY2 0JG,Building Fabric Maintenance,MSL,1
B051,FY2 0JG,Building Fabric Maintenance,Arrow Industrial,1
B051,FY2 0JG,Car Park Management,Parr FM,2
B051,FY2 0JG,Car Park Management,MSL,1
B051,FY2 0JG,Emergency & Fire Safety Systems,Marlowe,5
B051,FY2 0JG,Emergency & Fire Safety Systems,Arrow Industrial,2
